order_id,product_id,produto,quantidade,preço tabelado,preço venda,diferença
10329,38,Cte de Blaye,20,263.5,210.8,52.69
10351,38,Cte de Blaye,20,263.5,210.8,52.69
10353,38,Cte de Blaye,50,263.5,210.8,52.69
10360,38,Cte de Blaye,10,263.5,210.8,52.69
10372,38,Cte de Blaye,40,263.5,210.8,52.69
10417,38,Cte de Blaye,50,263.5,210.8,52.69
10424,38,Cte de Blaye,49,263.5,210.8,52.69
10479,38,Cte de Blaye,30,263.5,210.8,52.69
10268,29,Thringer Rostbratwurst,10,123.79,99,24.79
10290,29,Thringer Rostbratwurst,15,123.79,99,24.79
10305,29,Thringer Rostbratwurst,25,123.79,99,24.79
10354,29,Thringer Rostbratwurst,4,123.79,99,24.79
10360,29,Thringer Rostbratwurst,35,123.79,99,24.79
10369,29,Thringer Rostbratwurst,20,123.79,99,24.79
10382,29,Thringer Rostbratwurst,14,123.79,99,24.79
10400,29,Thringer Rostbratwurst,21,123.79,99,24.79
10440,29,Thringer Rostbratwurst,24,123.79,99,24.79
10465,29,Thringer Rostbratwurst,18,123.79,99,24.79
10420,9,Mishi Kobe Niku,20,97,77.6,19.4
10252,20,Sir Rodney's Marmalade,40,81,64.8,16.19
10272,20,Sir Rodney's Marmalade,6,81,64.8,16.19
10292,20,Sir Rodney's Marmalade,20,81,64.8,16.19
10372,20,Sir Rodney's Marmalade,12,81,64.8,16.19
10384,20,Sir Rodney's Marmalade,28,81,64.8,16.19
10293,18,Carnarvon Tigers,12,62.5,50,12.5
10305,18,Carnarvon Tigers,25,62.5,50,12.5
10332,18,Carnarvon Tigers,40,62.5,50,12.5
10340,18,Carnarvon Tigers,20,62.5,50,12.5
10382,18,Carnarvon Tigers,9,62.5,50,12.5
10470,18,Carnarvon Tigers,30,62.5,50,12.5
10255,59,Raclette Courdavault,30,55,44,11
10267,59,Raclette Courdavault,70,55,44,11
10275,59,Raclette Courdavault,6,55,44,11
10278,59,Raclette Courdavault,15,55,44,11
10298,59,Raclette Courdavault,30,55,44,11
10304,59,Raclette Courdavault,10,55,44,11
10324,59,Raclette Courdavault,40,55,44,11
10328,59,Raclette Courdavault,9,55,44,11
10341,59,Raclette Courdavault,9,55,44,11
10387,59,Raclette Courdavault,12,55,44,11
10410,59,Raclette Courdavault,16,55,44,11
10411,59,Raclette Courdavault,9,55,44,11
10423,59,Raclette Courdavault,20,55,44,11
10430,59,Raclette Courdavault,70,55,44,11
10457,59,Raclette Courdavault,36,55,44,11
10479,59,Raclette Courdavault,60,55,44,11
10480,59,Raclette Courdavault,12,55,44,11
10488,59,Raclette Courdavault,30,55,44,11
10490,59,Raclette Courdavault,60,55,44,11
10249,51,Manjimup Dried Apples,40,53,42.4,10.59
10250,51,Manjimup Dried Apples,35,53,42.4,10.59
10291,51,Manjimup Dried Apples,2,53,42.4,10.59
10335,51,Manjimup Dried Apples,48,53,42.4,10.59
10362,51,Manjimup Dried Apples,20,53,42.4,10.59
10397,51,Manjimup Dried Apples,18,53,42.4,10.59
10472,51,Manjimup Dried Apples,18,53,42.4,10.59
10484,51,Manjimup Dried Apples,3,53,42.4,10.59
10486,51,Manjimup Dried Apples,25,53,42.4,10.59
10260,62,Tarte au sucre,15,49.3,39.4,9.89
10277,62,Tarte au sucre,12,49.3,39.4,9.89
10286,62,Tarte au sucre,40,49.3,39.4,9.89
10298,62,Tarte au sucre,15,49.3,39.4,9.89
10307,62,Tarte au sucre,10,49.3,39.4,9.89
10310,62,Tarte au sucre,5,49.3,39.4,9.89
10314,62,Tarte au sucre,25,49.3,39.4,9.89
10316,62,Tarte au sucre,70,49.3,39.4,9.89
10339,62,Tarte au sucre,28,49.3,39.4,9.89
10389,62,Tarte au sucre,20,49.3,39.4,9.89
10394,62,Tarte au sucre,10,49.3,39.4,9.89
10408,62,Tarte au sucre,35,49.3,39.4,9.89
10413,62,Tarte au sucre,40,49.3,39.4,9.89
10449,62,Tarte au sucre,35,49.3,39.4,9.89
10270,43,Ipoh Coffee,25,46,36.8,9.2
10294,43,Ipoh Coffee,15,46,36.8,9.2
10302,43,Ipoh Coffee,12,46,36.8,9.2
10309,43,Ipoh Coffee,20,46,36.8,9.2
10312,43,Ipoh Coffee,24,46,36.8,9.2
10340,43,Ipoh Coffee,40,46,36.8,9.2
10458,43,Ipoh Coffee,20,46,36.8,9.2
10464,43,Ipoh Coffee,3,46,36.8,9.2
10468,43,Ipoh Coffee,15,46,36.8,9.2
10277,28,Rssle Sauerkraut,20,45.6,36.4,9.19
10302,28,Rssle Sauerkraut,28,45.6,36.4,9.19
10312,28,Rssle Sauerkraut,4,45.6,36.4,9.19
10319,28,Rssle Sauerkraut,14,45.6,36.4,9.19
10360,28,Rssle Sauerkraut,30,45.6,36.4,9.19
10368,28,Rssle Sauerkraut,13,45.6,36.4,9.19
10377,28,Rssle Sauerkraut,20,45.6,36.4,9.19
10387,28,Rssle Sauerkraut,6,45.6,36.4,9.19
10406,28,Rssle Sauerkraut,42,45.6,36.4,9.19
10443,28,Rssle Sauerkraut,12,45.6,36.4,9.19
10452,28,Rssle Sauerkraut,15,45.6,36.4,9.19
10458,28,Rssle Sauerkraut,30,45.6,36.4,9.19
10474,28,Rssle Sauerkraut,18,45.6,36.4,9.19
10257,27,Schoggi Schokolade,25,43.9,35.1,8.8
10278,63,Vegie-spread,8,43.9,35.1,8.8
10284,27,Schoggi Schokolade,15,43.9,35.1,8.8
10293,63,Vegie-spread,5,43.9,35.1,8.8
10324,63,Vegie-spread,80,43.9,35.1,8.8
10379,63,Vegie-spread,16,43.9,35.1,8.8
10402,63,Vegie-spread,65,43.9,35.1,8.8
10429,63,Vegie-spread,35,43.9,35.1,8.8
10441,27,Schoggi Schokolade,50,43.9,35.1,8.8
10344,8,Northwoods Cranberry Sauce,70,40,32,8
10345,8,Northwoods Cranberry Sauce,70,40,32,8
10265,17,Alice Mutton,30,39,31.2,7.79
10279,17,Alice Mutton,15,39,31.2,7.79
10294,17,Alice Mutton,15,39,31.2,7.79
10302,17,Alice Mutton,40,39,31.2,7.79
10319,17,Alice Mutton,8,39,31.2,7.79
10338,17,Alice Mutton,20,39,31.2,7.79
10339,17,Alice Mutton,70,39,31.2,7.79
10346,17,Alice Mutton,36,39,31.2,7.79
10415,17,Alice Mutton,2,39,31.2,7.79
10430,17,Alice Mutton,45,39,31.2,7.79
10431,17,Alice Mutton,50,39,31.2,7.79
10444,17,Alice Mutton,10,39,31.2,7.79
10262,56,Gnocchi di nonna Alice,2,38,30.4,7.6
10266,12,Queso Manchego La Pastora,12,38,30.4,7.6
10295,56,Gnocchi di nonna Alice,4,38,30.4,7.6
10301,56,Gnocchi di nonna Alice,20,38,30.4,7.6
10329,56,Gnocchi di nonna Alice,12,38,30.4,7.6
10346,56,Gnocchi di nonna Alice,20,38,30.4,7.6
10369,56,Gnocchi di nonna Alice,18,38,30.4,7.6
10383,56,Gnocchi di nonna Alice,20,38,30.4,7.6
10401,56,Gnocchi di nonna Alice,70,38,30.4,7.6
10426,56,Gnocchi di nonna Alice,5,38,30.4,7.6
10430,56,Gnocchi di nonna Alice,30,38,30.4,7.6
10433,56,Gnocchi di nonna Alice,28,38,30.4,7.6
10436,56,Gnocchi di nonna Alice,40,38,30.4,7.6
10439,12,Queso Manchego La Pastora,15,38,30.4,7.6
10458,56,Gnocchi di nonna Alice,15,38,30.4,7.6
10464,56,Gnocchi di nonna Alice,30,38,30.4,7.6
10471,56,Gnocchi di nonna Alice,20,38,30.4,7.6
10494,56,Gnocchi di nonna Alice,30,38,30.4,7.6
10497,56,Gnocchi di nonna Alice,14,38,30.4,7.6
10296,69,Gudbrandsdalsost,15,36,28.8,7.2
10308,69,Gudbrandsdalsost,1,36,28.8,7.2
10311,69,Gudbrandsdalsost,7,36,28.8,7.2
10350,69,Gudbrandsdalsost,18,36,28.8,7.2
10356,69,Gudbrandsdalsost,20,36,28.8,7.2
10364,69,Gudbrandsdalsost,30,36,28.8,7.2
10392,69,Gudbrandsdalsost,50,36,28.8,7.2
10395,69,Gudbrandsdalsost,8,36,28.8,7.2
10407,69,Gudbrandsdalsost,15,36,28.8,7.2
10419,69,Gudbrandsdalsost,20,36,28.8,7.2
10493,69,Gudbrandsdalsost,10,36,28.8,7.2
10248,11,Queso Cabrales,12,21,14,7
10268,72,Mozzarella di Giovanni,4,34.8,27.8,7
10269,72,Mozzarella di Giovanni,20,34.8,27.8,7
10272,72,Mozzarella di Giovanni,24,34.8,27.8,7
10274,72,Mozzarella di Giovanni,7,34.8,27.8,7
10283,72,Mozzarella di Giovanni,3,34.8,27.8,7
10297,72,Mozzarella di Giovanni,20,34.8,27.8,7
10325,72,Mozzarella di Giovanni,40,34.8,27.8,7
10330,72,Mozzarella di Giovanni,25,34.8,27.8,7
10337,72,Mozzarella di Giovanni,25,34.8,27.8,7
10372,72,Mozzarella di Giovanni,42,34.8,27.8,7
10390,72,Mozzarella di Giovanni,24,34.8,27.8,7
10396,72,Mozzarella di Giovanni,21,34.8,27.8,7
10435,72,Mozzarella di Giovanni,10,34.8,27.8,7
10459,72,Mozzarella di Giovanni,40,34.8,27.8,7
10497,72,Mozzarella di Giovanni,25,34.8,27.8,7
10252,60,Camembert Pierrot,40,34,27.2,6.79
10283,60,Camembert Pierrot,35,34,27.2,6.79
10284,60,Camembert Pierrot,20,34,27.2,6.79
10294,60,Camembert Pierrot,21,34,27.2,6.79
10357,60,Camembert Pierrot,8,34,27.2,6.79
10359,60,Camembert Pierrot,80,34,27.2,6.79
10361,60,Camembert Pierrot,55,34,27.2,6.79
10372,60,Camembert Pierrot,70,34,27.2,6.79
10380,60,Camembert Pierrot,6,34,27.2,6.79
10384,60,Camembert Pierrot,15,34,27.2,6.79
10385,60,Camembert Pierrot,20,34,27.2,6.79
10419,60,Camembert Pierrot,60,34,27.2,6.79
10464,60,Camembert Pierrot,20,34,27.2,6.79
10481,60,Camembert Pierrot,40,34,27.2,6.79
10289,64,Wimmers gute Semmelkndel,9,33.25,26.6,6.64
10343,64,Wimmers gute Semmelkndel,50,33.25,26.6,6.64
10368,64,Wimmers gute Semmelkndel,35,33.25,26.6,6.64
10370,64,Wimmers gute Semmelkndel,30,33.25,26.6,6.64
10426,64,Wimmers gute Semmelkndel,7,33.25,26.6,6.64
10436,64,Wimmers gute Semmelkndel,30,33.25,26.6,6.64
10439,64,Wimmers gute Semmelkndel,6,33.25,26.6,6.64
10451,64,Wimmers gute Semmelkndel,35,33.25,26.6,6.64
10470,64,Wimmers gute Semmelkndel,8,33.25,26.6,6.64
10479,64,Wimmers gute Semmelkndel,30,33.25,26.6,6.64
10256,53,Perth Pasties,15,32.8,26.2,6.59
10285,53,Perth Pasties,36,32.8,26.2,6.59
10306,53,Perth Pasties,10,32.8,26.2,6.59
10312,53,Perth Pasties,20,32.8,26.2,6.59
10380,53,Perth Pasties,20,32.8,26.2,6.59
10388,53,Perth Pasties,40,32.8,26.2,6.59
10395,53,Perth Pasties,70,32.8,26.2,6.59
10416,53,Perth Pasties,10,32.8,26.2,6.59
10421,53,Perth Pasties,15,32.8,26.2,6.59
10437,53,Perth Pasties,15,32.8,26.2,6.59
10455,53,Perth Pasties,50,32.8,26.2,6.59
10479,53,Perth Pasties,28,32.8,26.2,6.59
10258,32,Mascarpone Fabioli,6,32,25.6,6.39
10314,32,Mascarpone Fabioli,40,32,25.6,6.39
10335,32,Mascarpone Fabioli,6,32,25.6,6.39
10330,26,Gumbr Gummibrchen,50,31.23,24.9,6.32
10337,26,Gumbr Gummibrchen,24,31.23,24.9,6.32
10357,26,Gumbr Gummibrchen,16,31.23,24.9,6.32
10393,26,Gumbr Gummibrchen,70,31.23,24.9,6.32
10404,26,Gumbr Gummibrchen,30,31.23,24.9,6.32
10421,26,Gumbr Gummibrchen,30,31.23,24.9,6.32
10422,26,Gumbr Gummibrchen,2,31.23,24.9,6.32
10432,26,Gumbr Gummibrchen,10,31.23,24.9,6.32
10444,26,Gumbr Gummibrchen,15,31.23,24.9,6.32
10448,26,Gumbr Gummibrchen,6,31.23,24.9,6.32
10458,26,Gumbr Gummibrchen,30,31.23,24.9,6.32
10487,26,Gumbr Gummibrchen,30,31.23,24.9,6.32
10273,10,Ikura,24,31,24.8,6.2
10276,10,Ikura,15,31,24.8,6.2
10357,10,Ikura,30,31,24.8,6.2
10389,10,Ikura,16,31,24.8,6.2
10449,10,Ikura,14,31,24.8,6.2
10450,10,Ikura,20,31,24.8,6.2
10478,10,Ikura,20,31,24.8,6.2
10262,7,Uncle Bob's Organic Dried Pears,15,30,24,6
10385,7,Uncle Bob's Organic Dried Pears,10,30,24,6
10459,7,Uncle Bob's Organic Dried Pears,16,30,24,6
10471,7,Uncle Bob's Organic Dried Pears,30,30,24,6
10418,61,Sirop d'rable,16,28.5,22.8,5.7
10440,61,Sirop d'rable,90,28.5,22.8,5.7
10455,61,Sirop d'rable,25,28.5,22.8,5.7
10259,37,Gravad lax,1,26,20.8,5.2
10337,37,Gravad lax,28,26,20.8,5.2
10408,37,Gravad lax,10,26,20.8,5.2
10263,30,Nord-Ost Matjeshering,60,25.89,20.7,5.18
10282,30,Nord-Ost Matjeshering,6,25.89,20.7,5.18
10306,30,Nord-Ost Matjeshering,10,25.89,20.7,5.18
10327,30,Nord-Ost Matjeshering,35,25.89,20.7,5.18
10329,30,Nord-Ost Matjeshering,8,25.89,20.7,5.18
10338,30,Nord-Ost Matjeshering,15,25.89,20.7,5.18
10380,30,Nord-Ost Matjeshering,18,25.89,20.7,5.18
10401,30,Nord-Ost Matjeshering,18,25.89,20.7,5.18
10461,30,Nord-Ost Matjeshering,28,25.89,20.7,5.18
10468,30,Nord-Ost Matjeshering,8,25.89,20.7,5.18
10309,6,Grandma's Boysenberry Spread,30,25,20,5
10325,6,Grandma's Boysenberry Spread,6,25,20,5
10254,55,Pt chinois,21,24,19.2,4.79
10280,55,Pt chinois,20,24,19.2,4.79
10342,55,Pt chinois,40,24,19.2,4.79
10356,55,Pt chinois,12,24,19.2,4.79
10389,55,Pt chinois,15,24,19.2,4.79
10398,55,Pt chinois,120,24,19.2,4.79
10425,55,Pt chinois,10,24,19.2,4.79
10451,55,Pt chinois,120,24,19.2,4.79
10461,55,Pt chinois,60,24,19.2,4.79
10476,55,Pt chinois,2,24,19.2,4.79
10485,55,Pt chinois,30,24,19.2,4.79
10249,14,Tofu,9,23.25,18.6,4.64
10325,14,Tofu,9,23.25,18.6,4.64
10333,14,Tofu,10,23.25,18.6,4.64
10375,14,Tofu,15,23.25,18.6,4.64
10393,14,Tofu,42,23.25,18.6,4.64
10409,14,Tofu,12,23.25,18.6,4.64
10412,14,Tofu,20,23.25,18.6,4.64
10427,14,Tofu,35,23.25,18.6,4.64
10474,14,Tofu,12,23.25,18.6,4.64
10309,4,Chef Anton's Cajun Seasoning,20,22,17.6,4.39
10326,4,Chef Anton's Cajun Seasoning,24,22,17.6,4.39
10336,4,Chef Anton's Cajun Seasoning,18,22,17.6,4.39
10339,4,Chef Anton's Cajun Seasoning,10,22,17.6,4.39
10344,4,Chef Anton's Cajun Seasoning,35,22,17.6,4.39
10464,4,Chef Anton's Cajun Seasoning,16,22,17.6,4.39
10258,5,Chef Anton's Gumbo Mix,65,21.35,17,4.35
10262,5,Chef Anton's Gumbo Mix,12,21.35,17,4.35
10290,5,Chef Anton's Gumbo Mix,20,21.35,17,4.35
10382,5,Chef Anton's Gumbo Mix,32,21.35,17,4.35
10274,71,Flotemysost,20,21.5,17.2,4.29
10304,71,Flotemysost,2,21.5,17.2,4.29
10309,71,Flotemysost,3,21.5,17.2,4.29
10320,71,Flotemysost,30,21.5,17.2,4.29
10333,71,Flotemysost,40,21.5,17.2,4.29
10364,71,Flotemysost,5,21.5,17.2,4.29
10373,71,Flotemysost,50,21.5,17.2,4.29
10378,71,Flotemysost,6,21.5,17.2,4.29
10387,71,Flotemysost,15,21.5,17.2,4.29
10396,71,Flotemysost,60,21.5,17.2,4.29
10399,71,Flotemysost,30,21.5,17.2,4.29
10401,71,Flotemysost,60,21.5,17.2,4.29
10407,71,Flotemysost,15,21.5,17.2,4.29
10447,71,Flotemysost,2,21.5,17.2,4.29
10455,71,Flotemysost,30,21.5,17.2,4.29
10458,71,Flotemysost,50,21.5,17.2,4.29
10473,71,Flotemysost,12,21.5,17.2,4.29
10250,65,Louisiana Fiery Hot Pepper Sauce,15,21.05,16.8,4.25
10251,65,Louisiana Fiery Hot Pepper Sauce,20,21.05,16.8,4.25
10303,65,Louisiana Fiery Hot Pepper Sauce,30,21.05,16.8,4.25
10328,65,Louisiana Fiery Hot Pepper Sauce,40,21.05,16.8,4.25
10351,65,Louisiana Fiery Hot Pepper Sauce,10,21.05,16.8,4.25
10366,65,Louisiana Fiery Hot Pepper Sauce,5,21.05,16.8,4.25
10367,65,Louisiana Fiery Hot Pepper Sauce,15,21.05,16.8,4.25
10379,65,Louisiana Fiery Hot Pepper Sauce,20,21.05,16.8,4.25
10401,65,Louisiana Fiery Hot Pepper Sauce,20,21.05,16.8,4.25
10447,65,Louisiana Fiery Hot Pepper Sauce,35,21.05,16.8,4.25
10451,65,Louisiana Fiery Hot Pepper Sauce,28,21.05,16.8,4.25
10493,65,Louisiana Fiery Hot Pepper Sauce,15,21.05,16.8,4.25
10251,22,Gustaf's Knckebrd,6,21,16.8,4.2
10296,11,Queso Cabrales,12,21,16.8,4.2
10327,11,Queso Cabrales,50,21,16.8,4.2
10353,11,Queso Cabrales,12,21,16.8,4.2
10365,11,Queso Cabrales,24,21,16.8,4.2
10407,11,Queso Cabrales,30,21,16.8,4.2
10434,11,Queso Cabrales,6,21,16.8,4.2
10435,22,Gustaf's Knckebrd,12,21,16.8,4.2
